corridor,net_link_id,lanes,miles,C_vphpl,C_veh_per_h,D_veh_per_lane,D_veh_total,D_over_C_h,V_veh_total,free_speed_mph,cutoff_mph,congested,P_h,t0_clock,T2_clock,t3_clock,vT2_mph,recovery_over_onset,speed_mae_episode_mph,speed_rmse_episode_mph,note
I-66 EB,32563,4,0.160492,2200.0,8800.0,5521.601409478446,22086.405637913784,2.5098188224902027,32971.792953270255,66.84833333333334,46.79383333333334,True,2.778971251388889,15:51,17:00,18:38,24.716222222222225,1.443984922964457,0.7618140255759982,0.8617706230448582,
I-66 EB,32564,4,0.936293,2200.0,8800.0,5548.96925906488,22195.87703625952,2.5222587541204002,33072.9366953402,65.35966666666668,45.751766666666676,True,2.8976755155555556,15:47,17:30,18:41,24.389555555555557,0.7022676586984145,1.0819738179803684,1.4576514267251865,
I-66 EB,32572,2,0.672258,2200.0,4400.0,3207.8568950313766,6415.713790062753,1.4581167704688076,16369.498730031542,68.17722222222223,47.72405555555556,True,1.737461045,16:34,17:15,18:18,36.833555555555556,1.5696877461617313,1.0916092263707071,1.4340019290138508,
I-66 EB,32856,2,0.491758,2200.0,4400.0,3259.57991959239,6519.15983918478,1.4816272361783591,16903.596103913704,67.62494444444445,47.33746111111111,True,1.4224650930555558,17:27,18:00,18:52,38.47466666666667,1.5929321208443346,1.7120234500454028,2.001913731518386,
I-66 EB,35787,4,0.337366,2200.0,8800.0,4854.604488444659,19418.417953778637,2.2066384038384816,34479.82917181341,68.36355555555556,47.854488888888895,True,1.2967383297222221,14:26,15:00,15:44,37.449999999999996,1.33112609514239,1.0889305325878098,1.3581084816456153,
I-66 EB,38167,3,0.451882,2200.0,6600.0,0.0,0.0,0.0,18150.412633169086,68.71616666666667,48.10131666666666,False,0.0,,,,,,,,
I-66 EB,39146,2,4.297312,2200.0,4400.0,0.0,0.0,0.0,13741.647454418879,68.27627777777779,47.79339444444445,False,0.0,,,,,,,,
I-66 EB,39157,3,2.210167,2200.0,6600.0,0.0,0.0,0.0,18934.278337799973,68.53777777777779,47.97644444444445,False,0.0,,,,,,,,
I-66 WB,25946,3,0.205955,2200.0,6600.0,0.0,0.0,0.0,10725.021941007673,51.31461113529934,35.92022779470953,False,0.0,,,,,,,,
I-66 WB,26055,2,0.20361,2200.0,4400.0,0.0,0.0,0.0,10496.402382794717,64.79527777777778,45.35669444444444,False,0.0,,,,,,,,
I-66 WB,26177,3,0.462016,2200.0,6600.0,549.6426470744706,1648.9279412234118,0.24983756685203207,18242.901159308894,62.95655555555555,44.06958888888889,False,0.0,,,,,,,,
I-66 WB,26309,1,0.061044,2200.0,2200.0,0.0,0.0,0.0,3565.229623609112,51.12961111111111,35.790727777777775,False,0.0,,,,,,,,
I-66 WB,26313,2,0.276665,2200.0,4400.0,0.0,0.0,0.0,13008.806815462702,49.68811111111111,34.78167777777777,False,0.0,,,,,,,,
I-66 WB,26370,3,1.544877,2200.0,6600.0,527.1093945202114,1581.328183560634,0.2395951793273688,17745.494631316054,63.72747628629211,44.60923340040448,False,0.0,,,,,,,,
I-66 WB,26720,2,1.068473,2200.0,4400.0,0.0,0.0,0.0,8402.48727056554,58.493066491169344,40.94514654381854,False,0.0,,,,,,,,
I-66 WB,26723,3,0.18464,2200.0,6600.0,0.0,0.0,0.0,13556.961904623575,62.006388888888885,43.40447222222222,False,0.0,,,,,,,,
I-66 WB,26724,3,0.863407,2200.0,6600.0,0.0,0.0,0.0,20169.068172892417,62.51094444444444,43.757661111111105,False,0.0,,,,,,,,
I-66 WB,26726,2,0.327617,2200.0,4400.0,0.0,0.0,0.0,10945.558698489956,64.04905555555555,44.83433888888889,False,0.0,,,,,,,,
I-66 WB,26727,3,0.260712,2200.0,6600.0,0.0,0.0,0.0,17852.5007819802,64.07916666666667,44.85541666666666,False,0.0,,,,,,,,
