tmc_code,measurement_tstamp,speed,reference_speed,date,tod_min,clock_min,timestamp,period,wall_clock
110-04178,2025-10-08 14:15:00,51.67,62.0,2025-10-08,855,855,2025-10-08 14:15:00-04:00,MD,14:15
110-04178,2025-10-08 14:20:00,46.56,62.0,2025-10-08,860,860,2025-10-08 14:20:00-04:00,MD,14:20
110-04178,2025-10-08 14:25:00,33.81,62.0,2025-10-08,865,865,2025-10-08 14:25:00-04:00,MD,14:25
110-04178,2025-10-08 14:30:00,26.35,62.0,2025-10-08,870,870,2025-10-08 14:30:00-04:00,MD,14:30
110-04178,2025-10-08 14:35:00,28.93,62.0,2025-10-08,875,875,2025-10-08 14:35:00-04:00,MD,14:35
110-04178,2025-10-08 14:40:00,38.94,62.0,2025-10-08,880,880,2025-10-08 14:40:00-04:00,MD,14:40
110-04178,2025-10-08 14:45:00,38.26,62.0,2025-10-08,885,885,2025-10-08 14:45:00-04:00,MD,14:45
110-04178,2025-10-08 14:50:00,22.93,62.0,2025-10-08,890,890,2025-10-08 14:50:00-04:00,MD,14:50
110-04178,2025-10-08 14:55:00,24.15,62.0,2025-10-08,895,895,2025-10-08 14:55:00-04:00,MD,14:55
110-04178,2025-10-08 15:00:00,25.59,62.0,2025-10-08,900,900,2025-10-08 15:00:00-04:00,PM,15:00
110-04178,2025-10-08 15:05:00,22.76,62.0,2025-10-08,905,905,2025-10-08 15:05:00-04:00,PM,15:05
110-04178,2025-10-08 15:10:00,22.54,62.0,2025-10-08,910,910,2025-10-08 15:10:00-04:00,PM,15:10
110-04178,2025-10-08 15:15:00,21.59,62.0,2025-10-08,915,915,2025-10-08 15:15:00-04:00,PM,15:15
110-04178,2025-10-08 15:20:00,24.7,62.0,2025-10-08,920,920,2025-10-08 15:20:00-04:00,PM,15:20
110-04178,2025-10-08 15:25:00,29.88,62.0,2025-10-08,925,925,2025-10-08 15:25:00-04:00,PM,15:25
110-04178,2025-10-08 15:30:00,28.23,62.0,2025-10-08,930,930,2025-10-08 15:30:00-04:00,PM,15:30
110-04178,2025-10-08 15:35:00,26.59,62.0,2025-10-08,935,935,2025-10-08 15:35:00-04:00,PM,15:35
110-04178,2025-10-08 15:40:00,25.79,62.0,2025-10-08,940,940,2025-10-08 15:40:00-04:00,PM,15:40
110-04178,2025-10-08 15:45:00,26.58,62.0,2025-10-08,945,945,2025-10-08 15:45:00-04:00,PM,15:45
110-04178,2025-10-08 15:50:00,32.43,62.0,2025-10-08,950,950,2025-10-08 15:50:00-04:00,PM,15:50
110-04178,2025-10-08 15:55:00,28.13,62.0,2025-10-08,955,955,2025-10-08 15:55:00-04:00,PM,15:55
110-04178,2025-10-08 16:00:00,32.65,62.0,2025-10-08,960,960,2025-10-08 16:00:00-04:00,PM,16:00
110-04178,2025-10-08 16:05:00,26.15,62.0,2025-10-08,965,965,2025-10-08 16:05:00-04:00,PM,16:05
110-04178,2025-10-08 16:10:00,29.72,62.0,2025-10-08,970,970,2025-10-08 16:10:00-04:00,PM,16:10
110-04178,2025-10-08 16:15:00,29.07,62.0,2025-10-08,975,975,2025-10-08 16:15:00-04:00,PM,16:15
110-04178,2025-10-08 16:20:00,26.51,62.0,2025-10-08,980,980,2025-10-08 16:20:00-04:00,PM,16:20
110-04178,2025-10-08 16:25:00,29.18,62.0,2025-10-08,985,985,2025-10-08 16:25:00-04:00,PM,16:25
110-04178,2025-10-08 16:30:00,33.05,62.0,2025-10-08,990,990,2025-10-08 16:30:00-04:00,PM,16:30
110-04178,2025-10-08 16:35:00,32.73,62.0,2025-10-08,995,995,2025-10-08 16:35:00-04:00,PM,16:35
110-04178,2025-10-08 16:40:00,29.36,62.0,2025-10-08,1000,1000,2025-10-08 16:40:00-04:00,PM,16:40
110-04178,2025-10-08 16:45:00,27.13,62.0,2025-10-08,1005,1005,2025-10-08 16:45:00-04:00,PM,16:45
110-04178,2025-10-08 16:50:00,23.36,62.0,2025-10-08,1010,1010,2025-10-08 16:50:00-04:00,PM,16:50
110-04178,2025-10-08 16:55:00,24.57,62.0,2025-10-08,1015,1015,2025-10-08 16:55:00-04:00,PM,16:55
110-04178,2025-10-08 17:00:00,24.18,62.0,2025-10-08,1020,1020,2025-10-08 17:00:00-04:00,PM,17:00
110-04178,2025-10-08 17:05:00,26.11,62.0,2025-10-08,1025,1025,2025-10-08 17:05:00-04:00,PM,17:05
110-04178,2025-10-08 17:10:00,31.75,62.0,2025-10-08,1030,1030,2025-10-08 17:10:00-04:00,PM,17:10
110-04178,2025-10-08 17:15:00,27.94,62.0,2025-10-08,1035,1035,2025-10-08 17:15:00-04:00,PM,17:15
110-04178,2025-10-08 17:20:00,29.79,62.0,2025-10-08,1040,1040,2025-10-08 17:20:00-04:00,PM,17:20
110-04178,2025-10-08 17:25:00,28.72,62.0,2025-10-08,1045,1045,2025-10-08 17:25:00-04:00,PM,17:25
110-04178,2025-10-08 17:30:00,22.09,62.0,2025-10-08,1050,1050,2025-10-08 17:30:00-04:00,PM,17:30
110-04178,2025-10-08 17:35:00,24.79,62.0,2025-10-08,1055,1055,2025-10-08 17:35:00-04:00,PM,17:35
110-04178,2025-10-08 17:40:00,25.0,62.0,2025-10-08,1060,1060,2025-10-08 17:40:00-04:00,PM,17:40
110-04178,2025-10-08 17:45:00,26.78,62.0,2025-10-08,1065,1065,2025-10-08 17:45:00-04:00,PM,17:45
110-04178,2025-10-08 17:50:00,29.79,62.0,2025-10-08,1070,1070,2025-10-08 17:50:00-04:00,PM,17:50
110-04178,2025-10-08 17:55:00,28.79,62.0,2025-10-08,1075,1075,2025-10-08 17:55:00-04:00,PM,17:55
110-04178,2025-10-08 18:00:00,28.01,62.0,2025-10-08,1080,1080,2025-10-08 18:00:00-04:00,PM,18:00
110-04178,2025-10-08 18:05:00,31.52,62.0,2025-10-08,1085,1085,2025-10-08 18:05:00-04:00,PM,18:05
110-04178,2025-10-08 18:10:00,34.39,62.0,2025-10-08,1090,1090,2025-10-08 18:10:00-04:00,PM,18:10
110-04178,2025-10-08 18:15:00,30.09,62.0,2025-10-08,1095,1095,2025-10-08 18:15:00-04:00,PM,18:15
110-04178,2025-10-08 18:20:00,29.59,62.0,2025-10-08,1100,1100,2025-10-08 18:20:00-04:00,PM,18:20
110-04178,2025-10-08 18:25:00,28.17,62.0,2025-10-08,1105,1105,2025-10-08 18:25:00-04:00,PM,18:25
110-04178,2025-10-08 18:30:00,23.59,62.0,2025-10-08,1110,1110,2025-10-08 18:30:00-04:00,PM,18:30
110-04178,2025-10-08 18:35:00,23.74,62.0,2025-10-08,1115,1115,2025-10-08 18:35:00-04:00,PM,18:35
110-04178,2025-10-08 18:40:00,26.52,62.0,2025-10-08,1120,1120,2025-10-08 18:40:00-04:00,PM,18:40
110-04178,2025-10-08 18:45:00,31.41,62.0,2025-10-08,1125,1125,2025-10-08 18:45:00-04:00,PM,18:45
