time_of_day,speed_mph,period,flow_speed_only_vehph,flow_ref_vehph,flow_ref_source,volume_anchor_factor,lambda_ref_vehph,lambda_ref_source,mu_ref_vehph,queue_start_veh,queue_end_veh,realized_departure_vehph,cumulative_arrivals_veh,cumulative_departures_veh,waiting_time_min,travel_time_min,net_flow_ref_vehph,link_id,tmc_id,dt_minutes,initial_queue_veh
17:30,14.12,PM,3577.4406562168037,1586.0726163767115,speed_to_volume:s3+period_volume_anchor,0.4433539976744175,1586.0726163767115,speed_to_volume_proxy,1705.801188287569,984.5117446445602,974.5343636519888,1705.8011882875687,5381.187433394874,4406.653069742887,34.99999999999999,35.29523809523809,-119.72857191085745,26736,110N04169,5,0
17:35,13.935,PM,3554.5731093556105,1575.9341980587944,speed_to_volume:s3+period_volume_anchor,0.4433539976744175,1575.9341980587944,speed_to_volume_proxy,1705.801188287569,974.5343636519888,963.7121144662576,1705.8011882875687,5512.515283233106,4548.803168766851,34.99999999999999,35.29523809523809,-129.8669902287745,26736,110N04169,5,0
17:40,13.822,PM,3540.5182171847187,1569.7029054279467,speed_to_volume:s3+period_volume_anchor,0.4433539976744175,1569.7029054279467,speed_to_volume_proxy,1705.801188287569,963.7121144662576,952.3705908946224,1705.8011882875687,5643.323858685435,4690.953267790815,34.99999999999999,35.29523809523809,-136.09828285962226,26736,110N04169,5,0
17:45,13.783,PM,3535.651920867295,1567.5454135017485,speed_to_volume:s3+period_volume_anchor,0.4433539976744175,1567.5454135017485,speed_to_volume_proxy,1705.801188287569,952.3705908946224,940.8492763291374,1705.8011882875687,5773.952643143914,4833.103366814778,34.99999999999999,35.29523809523809,-138.25577478582045,26736,110N04169,5,0
17:50,13.824,PM,3540.7675558353985,1569.8134507155003,speed_to_volume:s3+period_volume_anchor,0.4433539976744175,1569.8134507155003,speed_to_volume_proxy,1705.801188287569,940.8492763291374,929.5169648647984,1705.8011882875687,5904.770430703539,4975.253465838742,34.99999999999999,35.29523809523809,-135.98773757206868,26736,110N04169,5,0
17:55,13.95,PM,3556.433809581361,1576.7591469423546,speed_to_volume:s3+period_volume_anchor,0.4433539976744175,1576.7591469423546,speed_to_volume_proxy,1705.801188287569,929.5169648647984,918.7634614193639,1705.8011882875687,6036.167026282069,5117.403564862706,34.99999999999999,35.29523809523809,-129.04204134521433,26736,110N04169,5,0
18:00,14.174,PM,3584.082444928421,1589.0172799537158,speed_to_volume:s3+period_volume_anchor,0.4433539976744175,1589.0172799537158,speed_to_volume_proxy,1705.801188287569,918.7634614193639,909.0314690582095,1705.8011882875687,6168.585132944879,5259.55366388667,34.99999999999999,35.29523809523809,-116.7839083338531,26736,110N04169,5,0
18:05,14.507,PM,3624.7152944188383,1607.0320162121952,speed_to_volume:s3+period_volume_anchor,0.4433539976744175,1607.0320162121952,speed_to_volume_proxy,1705.801188287569,909.0314690582095,900.8007047185952,1705.8011882875687,6302.504467629228,5401.7037629106335,34.99999999999999,35.29523809523809,-98.76917207537372,26736,110N04169,5,0
18:10,14.972,PM,3680.541099994755,1631.7826102876727,speed_to_volume:s3+period_volume_anchor,0.4433539976744175,1631.7826102876727,speed_to_volume_proxy,1705.801188287569,900.8007047185952,894.6324898852706,1705.8011882875687,6438.486351819867,5543.853861934597,34.99999999999999,35.29523809523809,-74.01857799989625,26736,110N04169,5,0
18:15,15.595,PM,3753.7278974665714,1664.2302695237904,speed_to_volume:s3+period_volume_anchor,0.4433539976744175,1664.2302695237904,speed_to_volume_proxy,1705.801188287569,894.6324898852706,891.1682466549557,1705.8011882875687,6577.172207613517,5686.003960958561,34.99999999999999,35.29523809523809,-41.570918763778536,26736,110N04169,5,0
18:20,16.416,PM,3847.492516668915,1705.801188287569,speed_to_volume:s3+period_volume_anchor,0.4433539976744175,1705.801188287569,speed_to_volume_proxy,1705.801188287569,891.1682466549557,891.1682466549557,1705.8011882875687,6719.32230663748,5828.154059982525,34.99999999999999,35.29523809523809,0.0,26736,110N04169,5,0
18:25,17.492,PM,3966.0195744846337,1758.3506332027546,speed_to_volume:s3+period_volume_anchor,0.4433539976744175,1758.3506332027546,speed_to_volume_proxy,1705.801188287569,891.1682466549557,895.5473670645547,1705.8011882875687,6865.851526071043,5970.304159006489,,,52.54944491518563,26736,110N04169,5,0
18:30,18.906,PM,4114.747207749343,1824.2896239753181,speed_to_volume:s3+period_volume_anchor,0.4433539976744175,1824.2896239753181,speed_to_volume_proxy,1705.801188287569,895.5473670645547,905.4214033718672,1705.8011882875687,7017.87566140232,6112.454258030452,,,118.48843568774919,26736,110N04169,5,0
18:35,20.783,PM,4300.740112683683,1906.7503219170358,speed_to_volume:s3+period_volume_anchor,0.4433539976744175,1906.7503219170358,speed_to_volume_proxy,1705.801188287569,905.4214033718672,922.1671645076563,1705.8011882875687,7176.771521562073,6254.604357054416,,,200.94913362946681,26736,110N04169,5,0
18:40,23.318,PM,4532.843978558937,2009.6544987285165,speed_to_volume:s3+period_volume_anchor,0.4433539976744175,2009.6544987285165,speed_to_volume_proxy,1705.801188287569,922.1671645076563,947.4882737110686,1705.8011882875687,7344.242729789449,6396.75445607838,,,303.85331044094755,26736,110N04169,5,0
18:45,26.816,PM,4819.7673271949625,2136.863112372429,speed_to_volume:s3+period_volume_anchor,0.4433539976744175,2136.863112372429,speed_to_volume_proxy,1705.801188287569,947.4882737110686,983.4101007181403,1705.8011882875687,7522.314655820485,6538.904555102344,,,431.06192408486004,26736,110N04169,5,0
18:50,31.762,PM,5162.742793564004,2288.9226564913915,speed_to_volume:s3+period_volume_anchor,0.4433539976744175,2288.9226564913915,speed_to_volume_proxy,1705.801188287569,983.4101007181403,1032.0035564017921,1705.8011882875687,7713.058210528101,6681.0546541263075,,,583.1214682038226,26736,110N04169,5,0
18:55,45.202,PM,5687.82121485377,2521.7182736627806,speed_to_volume:s3+period_volume_anchor,0.4433539976744175,2521.7182736627806,speed_to_volume_proxy,1705.801188287569,1032.0035564017921,1099.9966468497266,1705.8011882875687,7923.201399999999,6823.204753150271,,,815.9170853752116,26736,110N04169,5,0
