link_id,corridor,tmc_code,lanes,queue_peak_model_veh,queue_peak_meas_veh,peak_ratio,queue_at_AM_MD_boundary_veh,queue_at_MD_PM_boundary_veh,end_of_run_queue_veh,storage_veh,peak_over_storage,bins_over_storage,bins_at_capacity,unmet_demand_veh,residual_rmse_veh,residual_rmse_in_episode_veh,has_queue
28302,I395_SB,110N04123,4,48.6317684649448,50.78605267583941,0.9575811842545606,0.0,0.0,0.0,232.0,0.20961969165924482,0,14,48.6317684649448,1.8186080337785848,3.4901338055454385,True
28303,I395_NB,110P04124,4,30.254496774016843,30.191286732127008,1.00209365180261,19.981592474155377,0.0,0.0,248.0,0.12199393860490662,0,11,30.254496774016843,2.7737613503324092,6.030098966104299,True
28307,I395_SB,110-04123,4,36.441083216740026,36.39833653686567,1.001174413007338,0.0,0.0,0.0,200.0,0.18220541608370014,0,13,36.8458323147122,2.8140777749432346,5.621791004708819,True
28312,I395_SB,110N04124,4,44.71622844961644,46.41647477251509,0.9633697662041015,0.0,0.0,0.09571542603157468,248.0,0.18030737278071143,0,14,48.23665361340181,3.326819820836495,6.411556557238596,True
28705,I66_WB,110+04173,4,0.0,0.0,,0.0,0.0,0.0,408.0,0.0,0,0,0.0,0.0,,False
28712,I395_NB,110+04122,4,0.0,0.0,,0.0,0.0,0.0,32.0,0.0,0,0,0.0,0.0,,False
28724,I395_NB,110+04122,3,0.0,0.0,,0.0,0.0,0.0,150.0,0.0,0,0,0.0,0.0,,False
29007,I395_NB,110+04121,4,107.22008260312373,108.85953088491118,0.9849397818596085,78.68978457598405,44.36923474131322,52.981119357295256,344.0,0.3116862866369876,0,50,195.30234015726796,5.798415767059307,5.913247028831896,True
29361,I395_NB,110P04120,4,74.50360344044702,77.13544635021802,0.9658802400932298,42.676441993283106,0.0,12.329249016393987,184.0,0.404910888263299,0,50,139.73401710756661,3.7784124073098884,4.893619336821433,True
30296,I66_WB,110P04174,2,0.0,0.0,,0.0,0.0,0.0,28.000000000000004,0.0,0,0,0.0,0.0,,False
30317,I66_WB,110N58636,2,0.0,0.0,,0.0,0.0,0.0,52.0,0.0,0,0,0.0,0.0,,False
30949,I66_EB,110+58629,3,0.0,0.0,,0.0,0.0,0.0,402.0,0.0,0,0,0.0,0.0,,False
31338,I66_EB,110N04175,2,0.0,0.0,,0.0,0.0,0.0,184.0,0.0,0,0,0.0,0.0,,False
31343,I66_EB,110-04175,2,0.0,0.0,,0.0,0.0,0.0,304.0,0.0,0,0,0.0,0.0,,False
31344,I66_EB,110+58635,4,0.0,0.0,,0.0,0.0,0.0,600.0,0.0,0,0,0.0,0.0,,False
31346,I66_WB,110-58634,2,0.0,0.0,,0.0,0.0,0.0,140.0,0.0,0,0,0.0,0.0,,False
31347,I66_EB,110-04175,2,0.0,0.0,,0.0,0.0,0.0,228.0,0.0,0,0,0.0,0.0,,False
31348,I66_EB,110+58635,4,0.0,0.0,,0.0,0.0,0.0,456.0,0.0,0,0,0.0,0.0,,False
31350,I66_WB,110-58634,2,0.0,0.0,,0.0,0.0,0.0,472.0,0.0,0,0,0.0,0.0,,False
31351,I66_EB,110-04175,2,0.0,0.0,,0.0,0.0,0.0,116.0,0.0,0,0,0.0,0.0,,False
31352,I66_WB,110-58633,2,0.0,0.0,,0.0,0.0,0.0,56.00000000000001,0.0,0,0,0.0,0.0,,False
31353,I66_EB,110-04176,2,0.0,0.0,,0.0,0.0,0.0,96.0,0.0,0,0,0.0,0.0,,False
31354,I66_WB,110+04178,4,17.586532725516463,17.639549353174537,0.996994445459088,0.0,12.657624172963779,10.980694055768936,80.0,0.2198316590689558,0,22,18.603011317631626,0.8856628460587096,1.3616288908078626,True
31355,I66_WB,110-58633,2,0.0,0.0,,0.0,0.0,0.0,40.0,0.0,0,0,0.0,0.0,,False
31357,I66_EB,110-04177,4,0.0,0.0,,0.0,0.0,0.0,56.00000000000001,0.0,0,0,0.0,0.0,,False
31358,I66_WB,110+04178,4,162.74088035279465,162.2838540492058,1.0028162154902378,0.0,113.02729504617741,102.04674773144143,736.0,0.22111532656629707,0,22,175.08246596856725,8.376657057895269,12.878375003735568,True
31359,I66_WB,110-58633,2,0.0,0.0,,0.0,0.0,0.0,368.0,0.0,0,0,0.0,0.0,,False
31361,I66_EB,110-04177,4,0.0,0.0,,0.0,0.0,0.0,408.0,0.0,0,0,0.0,0.0,,False
31362,I66_WB,110-58633,2,0.0,0.0,,0.0,0.0,0.0,344.0,0.0,0,0,0.0,0.0,,False
31365,I66_WB,110-58632,2,0.0,0.0,,0.0,0.0,0.0,240.0,0.0,0,0,0.0,0.0,,False
31368,I66_WB,110+04179,4,0.0,0.0,,0.0,0.0,0.0,280.0,0.0,0,0,0.0,0.0,,False
31369,I66_WB,110-58632,2,0.0,0.0,,0.0,0.0,0.0,140.0,0.0,0,0,0.0,0.0,,False
31371,I66_EB,110-04178,4,103.91752781366836,103.88568238359817,1.0003065430128533,70.90851971409279,62.962912547926635,26.981699594316296,384.0,0.27061856201476137,0,42,198.00274960374713,7.642409655204573,8.392095465096403,True
31372,I66_WB,110+04179,4,0.0,0.0,,0.0,0.0,0.0,200.0,0.0,0,0,0.0,0.0,,False
31373,I66_WB,110-58632,2,0.0,0.0,,0.0,0.0,0.0,100.0,0.0,0,0,0.0,0.0,,False
31375,I66_EB,110+58633,4,0.0,0.0,,0.0,0.0,0.0,280.0,0.0,0,0,0.0,0.0,,False
