link_id,corridor,tmc_code,lanes,has_queue,restarted,identifiable_bins,unidentifiable_bins,queue_peak_meas_veh,queue_peak_fitted_veh,residual_rmse_veh,residual_mae_veh,residual_max_veh,lambda_mean_vph,lambda_peak_vph,lambda_over_mu_peak,end_of_day_queue_veh
31416,I66_WB,110+04184,2,True,False,17,79,19.58445174834584,19.250093098420052,0.6856802977594533,0.1605234664042422,6.249330218807246,3707.1559129686016,4000.037619503156,1.007382363864228,0.0
31417,I66_WB,110-58628,3,False,False,0,96,0.0,0.0,0.0,0.0,0.0,,,,0.0
31418,I66_WB,110+04184,2,True,False,17,79,61.10348945483902,60.24018258993476,2.241928582743056,0.5660936092069223,19.4979102826786,3757.2595603002214,4010.767105469116,1.0191170862632632,0.0
31419,I66_EB,110-04183,2,True,False,12,84,31.53408902266746,28.572349465734305,1.8656168197176355,0.4911518987038624,14.726213148969563,3964.8675960772543,4000.3258475623134,1.0141587505974745,0.0
31420,I66_EB,110+58629,3,False,False,0,96,0.0,0.0,0.0,0.0,0.0,,,,0.0
31421,I66_EB,110+58629,3,False,False,0,96,0.0,0.0,0.0,0.0,0.0,,,,0.0
31422,I66_EB,110-04183,2,True,False,12,84,44.55903883637793,40.85175882052897,2.6647232676119295,0.6779897417427394,20.8087794496309,3968.7472994526483,4001.583079626789,1.0175880121708853,0.0
31423,I66_WB,110+04184,2,True,False,17,79,83.82145348292019,82.87124684659125,2.463491878692122,0.7907835848078494,16.462153290348027,3754.0736696622866,4036.785852416516,1.0222001714248392,0.0
31424,I66_WB,110-58628,3,False,False,0,96,0.0,0.0,0.0,0.0,0.0,,,,0.0
31425,I66_WB,110-58628,3,False,False,0,96,0.0,0.0,0.0,0.0,0.0,,,,0.0
31426,I66_WB,110+04184,2,True,False,17,79,52.486330685566855,51.70803714446481,1.9130753786145005,0.4814652767009006,16.748204986403415,3747.069413993942,4001.486576813348,1.0168009218159524,0.0
31427,I66_EB,110-04183,2,True,False,12,84,73.35103316142212,64.83890911856679,3.5952303286930793,1.155145752078043,21.2317995080277,3798.106852225696,4031.606278530257,1.029005999798648,0.0
31428,I66_EB,110+58629,3,False,False,0,96,0.0,0.0,0.0,0.0,0.0,,,,0.0
