link_id,corridor,episode_id,t0_min,T2_min,t3_min,P_h,period_by_T2,vT2_mph,bins,lanes,free_speed_mph,cutoff_mph,mu_free_vphpl,mu_queued_vphpl,mu_free_vph,mu_queued_vph,capacity_drop
31415,I66_EB,E1,396.7006292833333,480.0,570.7347475666667,2.9005686380555558,AM,34.99159420289856,12,2,67.1665,47.016549999999995,2000.0,1965.7498432985053,4000.0,3931.4996865970106,0.01712507835074739
31416,I66_WB,E1,907.3498532166667,1080.0,1162.9114303666668,4.259359619166667,PM,28.853478260869565,17,2,68.98,48.286,2000.0,1928.1151661058327,4000.0,3856.2303322116654,0.035942416947083666
31418,I66_WB,E1,907.3498532166667,1080.0,1162.9114303666668,4.259359619166667,PM,28.853478260869565,17,2,68.98,48.286,2000.0,1928.1151661058327,4000.0,3856.2303322116654,0.035942416947083666
31419,I66_EB,E1,379.19888541666666,480.0,563.9572890666666,3.0793067275,AM,31.92304347826087,12,2,69.369,48.558299999999996,2000.0,1920.2727011605332,4000.0,3840.5454023210664,0.039863649419733416
31422,I66_EB,E1,379.19888541666666,480.0,563.9572890666666,3.0793067275,AM,31.92304347826087,12,2,69.369,48.558299999999996,2000.0,1920.2727011605332,4000.0,3840.5454023210664,0.039863649419733416
31423,I66_WB,E1,907.3498532166667,1080.0,1162.9114303666668,4.259359619166667,PM,28.853478260869565,17,2,68.98,48.286,2000.0,1928.1151661058327,4000.0,3856.2303322116654,0.035942416947083666
31426,I66_WB,E1,907.3498532166667,1080.0,1162.9114303666668,4.259359619166667,PM,28.853478260869565,17,2,68.98,48.286,2000.0,1928.1151661058327,4000.0,3856.2303322116654,0.035942416947083666
31427,I66_EB,E1,379.19888541666666,480.0,563.9572890666666,3.0793067275,AM,31.92304347826087,12,2,69.369,48.558299999999996,2000.0,1920.2727011605332,4000.0,3840.5454023210664,0.039863649419733416
31429,I66_EB,E1,379.19888541666666,480.0,563.9572890666666,3.0793067275,AM,31.92304347826087,12,2,69.369,48.558299999999996,2000.0,1920.2727011605332,4000.0,3840.5454023210664,0.039863649419733416
31795,I66_EB,E1,412.55812813333335,495.0,627.2263782666666,3.577804168888889,AM,39.71144927536233,14,4,68.72,48.104,1900.0,1881.9230217739198,7600.0,7527.692087095679,0.009514199066357976
31804,I66_EB,E1,396.9914899666667,480.0,650.6555889166667,4.2277349825,AM,17.575652173913042,17,4,68.35300000000001,47.847100000000005,1900.0,1701.6511061789467,7600.0,6806.604424715787,0.10439415464265955
31804,I66_EB,E2,820.2718197166666,1050.0,1131.0976901,5.180431173055555,PM,29.38826086956522,21,4,68.35300000000001,47.847100000000005,1900.0,1837.430119660176,7600.0,7349.720478640704,0.03293151596832844
32029,I66_WB,E1,795.5562686666667,1065.0,1178.8039189,6.387460837222222,PM,24.70275362318841,25,4,67.7165,47.40154999999999,1900.0,1692.8338611989016,7600.0,6771.335444795606,0.109034809895315
32031,I66_WB,E1,811.2765456833333,1080.0,1172.4904363333333,6.020231510833335,PM,33.48985507246376,24,4,67.38,47.166,1900.0,1850.7938989714078,7600.0,7403.175595885631,0.02589794790978539
32037,I66_WB,E1,910.3098008666667,1035.0,1088.2248369666665,2.965250601666667,PM,40.32753623188406,12,4,68.3265,47.82854999999999,1900.0,1877.9346776814675,7600.0,7511.73871072587,0.011613327536069695
32038,I66_WB,E1,910.3098008666667,1035.0,1088.2248369666665,2.965250601666667,PM,40.32753623188406,12,5,68.3265,47.82854999999999,1900.0,1877.9346776814675,9500.0,9389.673388407338,0.011613327536069695
32581,I395_NB,E1,391.1743736166666,495.0,621.8318958166667,3.844292036666667,AM,16.186666666666667,15,3,65.65,45.955,1900.0,1705.0372638423703,5700.0,5115.111791527111,0.10261196639875247
32581,I395_NB,E2,889.1827372833334,1050.0,1140.6613812833334,4.191310733333333,PM,18.105652173913043,17,3,65.65,45.955,1900.0,1704.7577180035748,5700.0,5114.273154010724,0.10275909578759224
32867,I66_WB,E1,873.7586626333334,1005.0,1150.297046,4.608973056111111,PM,22.91724637681158,18,2,68.559,47.991299999999995,2000.0,1664.17396062499,4000.0,3328.34792124998,0.16791301968750494
32868,I66_WB,E1,898.7701734166666,1050.0,1116.99769865,3.6371254205555554,PM,33.91695652173913,15,5,67.62,47.334,2000.0,1916.5613412800203,10000.0,9582.8067064001,0.04171932935998979
35787,I66_EB,E1,417.48763978333335,495.0,621.1988443333333,3.3951867425,AM,26.684927536231886,14,4,68.533,47.973099999999995,1900.0,1770.3174098424015,7600.0,7081.269639369606,0.06825399481978867
38954,I66_WB,E1,907.3498532166667,1080.0,1162.9114303666668,4.259359619166667,PM,28.853478260869565,17,2,68.98,48.286,2000.0,1928.1151661058327,4000.0,3856.2303322116654,0.035942416947083666
39141,I66_WB,E1,907.3498532166667,1080.0,1162.9114303666668,4.259359619166667,PM,28.853478260869565,17,2,68.98,48.286,2000.0,1928.1151661058327,4000.0,3856.2303322116654,0.035942416947083666
39142,I66_EB,E1,379.19888541666666,480.0,563.9572890666666,3.0793067275,AM,31.92304347826087,12,2,69.369,48.558299999999996,2000.0,1920.2727011605332,4000.0,3840.5454023210664,0.039863649419733416
39146,I66_EB,E1,379.19888541666666,480.0,563.9572890666666,3.0793067275,AM,31.92304347826087,12,2,69.369,48.558299999999996,2000.0,1920.2727011605332,4000.0,3840.5454023210664,0.039863649419733416
39147,I66_EB,E1,370.78758328333333,465.0,558.9195191,3.135532263611111,AM,20.628115942028984,13,2,70.1795,49.12565,2000.0,1729.2576428600862,4000.0,3458.5152857201724,0.13537117856995695
39151,I66_EB,E1,392.88974245,450.0,528.2846635,2.2565820175,AM,31.425072463768117,9,2,69.71,48.79699999999999,2000.0,1923.680708129086,4000.0,3847.361416258172,0.038159645935456954
39156,I66_EB,E1,392.88974245,450.0,528.2846635,2.2565820175,AM,31.425072463768117,9,2,69.71,48.79699999999999,2000.0,1923.680708129086,4000.0,3847.361416258172,0.038159645935456954
40966,I66_EB,E1,392.88974245,450.0,528.2846635,2.2565820175,AM,31.425072463768117,9,2,69.71,48.79699999999999,2000.0,1923.680708129086,4000.0,3847.361416258172,0.038159645935456954
