link_id,corridor,tmc_code,source,episode_id,t0_min,T2_min,t3_min,P_h,vT2_mph,period_by_T2,onset_to_T2_h,T2_to_recovery_h,free_speed_mph,cutoff_mph
31422,I66_EB,110-04183,model,E1,404.0896701666667,480.0,551.56302155,2.4578891897222226,32.48838891863085,AM,1.2651721638888889,1.1927170258333333,69.369,48.558299999999996
31423,I66_WB,110+04184,model,E1,936.9621807666666,1080.0,1440.0,8.38396365388889,31.16366510708432,PM,2.383963653888889,6.0,68.98,48.286
31426,I66_WB,110+04184,model,E1,929.9061721666666,1080.0,1440.0,8.501563797222222,28.976832392500842,PM,2.5015637972222224,6.0,68.98,48.286
31427,I66_EB,110-04183,model,E1,404.07200703333336,495.0,542.0539978166667,2.299699846388889,37.002893034239605,AM,1.5154665494444446,0.7842332969444444,69.369,48.558299999999996
31429,I66_EB,110-04183,model,E1,403.36226361666667,480.0,554.5309156999999,2.519477534722222,33.06403118199232,AM,1.277295606388889,1.2421819283333333,69.369,48.558299999999996
31804,I66_EB,110N04179,model,E1,414.8216213833333,480.0,641.7729201166666,3.7825216455555553,16.98087788051743,AM,1.086306310277778,2.6962153352777776,68.35300000000001,47.847100000000005
31804,I66_EB,110N04179,model,E2,839.6513980833333,885.0,960.5548524000001,2.0150575719444443,33.743600805060154,MD,0.7558100319444444,1.25924754,68.35300000000001,47.847100000000005
31804,I66_EB,110N04179,model,E3,994.5887958999999,1050.0,1121.2500179166666,2.1110203669444445,29.920857129021183,PM,0.9235200683333333,1.1875002986111112,68.35300000000001,47.847100000000005
32029,I66_WB,110+04178,model,E1,820.2358760333334,1065.0,1440.0,10.32940206611111,24.546214389479154,PM,4.079402066111111,6.25,67.7165,47.40154999999999
32031,I66_WB,110P04178,model,E1,916.6832227,1065.0,1440.0,8.721946288333333,38.48070196014591,PM,2.4719462883333336,6.25,67.38,47.166
32038,I66_WB,110P04181,model,E1,934.0880675999999,1035.0,1079.376366,2.4214716399999996,39.81000483807844,PM,1.68186554,0.7396061,68.3265,47.82854999999999
32581,I395_NB,110P04120,model,E1,424.4007833,495.0,612.6334377833333,3.1372109080555557,16.11735827050946,AM,1.1766536116666668,1.9605572963888889,65.65,45.955
32581,I395_NB,110P04120,model,E2,913.2886480666667,1035.0,1440.0,8.77852253222222,17.59840881766824,PM,2.028522532222222,6.75,65.65,45.955
32867,I66_WB,110P04182,model,E1,894.3018642333334,1020.0,1440.0,9.094968929444445,22.653580909965843,PM,2.0949689294444447,7.0,68.559,47.991299999999995
32868,I66_WB,110+04182,model,E1,912.89679065,1035.0,1110.9688195666668,3.301200481944444,33.68242851471947,PM,2.0350534891666667,1.2661469927777778,67.62,47.334
35787,I66_EB,110N04180,model,E1,430.4285710666666,495.0,615.3355062166667,3.0817822525,25.721958059355586,AM,1.0761904822222221,2.005591770277778,68.533,47.973099999999995
38954,I66_WB,110+04184,model,E1,937.8438224666667,1080.0,1440.0,8.369269625555555,31.293186405454996,PM,2.3692696255555554,6.0,68.98,48.286
39141,I66_WB,110+04184,model,E1,928.9656006333333,1080.0,1440.0,8.517239989444445,28.997668132206226,PM,2.5172399894444446,6.0,68.98,48.286
39142,I66_EB,110-04183,model,E1,404.2006512,495.0,541.84388045,2.294053820833333,37.11310329404845,AM,1.51332248,0.7807313408333333,69.369,48.558299999999996
39146,I66_EB,110-04183,model,E1,403.2227728,480.0,554.1880881333333,2.516088588888889,33.0775835176066,AM,1.2796204533333333,1.2364681355555556,69.369,48.558299999999996
39147,I66_EB,110N04184,model,E1,384.05899113333334,465.0,553.34348845,2.821408288611111,20.07023932595143,AM,1.3490168144444445,1.4723914741666666,70.1795,49.12565
39151,I66_EB,110-04184,model,E1,415.9195749666667,450.0,520.7633244,1.7473958238888891,31.010895906997305,AM,0.5680070838888889,1.1793887399999998,69.71,48.79699999999999
39156,I66_EB,110-04184,model,E1,418.17270924999997,450.0,505.68959696666667,1.4586147952777777,34.837278729018095,AM,0.5304548458333334,0.9281599494444445,69.71,48.79699999999999
40966,I66_EB,110-04184,model,E1,416.11105325,450.0,524.4718032166667,1.8060124994444444,30.181694125376033,AM,0.5648157791666666,1.2411967202777778,69.71,48.79699999999999
