link_id,corridor,tmc_code,variant,mae_period_mph,rmse_period_mph,mae_episode_mph,bias_episode_mph,episode_bins
32848,I66_WB,110-58629,assignment,6.697146739130428,6.751669494408041,,,0
32848,I66_WB,110-58629,anchored,6.697146739130428,6.751669494408041,,,0
32854,I66_WB,110N58631,free_flow,4.585027173913047,4.632239854075997,,,0
32854,I66_WB,110N58631,assignment,4.585027173913047,4.632239854075997,,,0
32854,I66_WB,110N58631,anchored,4.585027173913047,4.632239854075997,,,0
32866,I66_EB,110N04182,free_flow,5.081766304347829,5.11431947740056,,,0
32866,I66_EB,110N04182,assignment,5.081766304347829,5.11431947740056,,,0
32866,I66_EB,110N04182,anchored,5.081766304347829,5.11431947740056,,,0
32867,I66_WB,110P04182,free_flow,41.936472826086955,42.16913630560708,41.936472826086955,44.15052173913043,16
32867,I66_WB,110P04182,assignment,41.936472826086955,42.16913630560708,41.936472826086955,44.15052173913043,16
32867,I66_WB,110P04182,anchored,0.3376422132374417,0.45249902672334175,0.3376422132374417,-0.030314897613932246,16
32868,I66_WB,110+04182,free_flow,27.806875000000005,28.382533315208875,28.698579710144934,30.456086956521744,15
32868,I66_WB,110+04182,assignment,27.806875000000005,28.382533315208875,28.698579710144934,30.456086956521744,15
32868,I66_WB,110+04182,anchored,3.125737421690548,6.338032996338225,2.38283285633991,-0.008079496095326988,15
32869,I66_EB,110N04181,free_flow,4.967260869565216,5.100980479113663,,,0
32869,I66_EB,110N04181,assignment,4.967260869565216,5.100980479113663,,,0
32869,I66_EB,110N04181,anchored,4.967260869565216,5.100980479113663,,,0
35757,I66_WB,110-58629,free_flow,6.697146739130428,6.751669494408041,,,0
35757,I66_WB,110-58629,assignment,6.697146739130428,6.751669494408041,,,0
35757,I66_WB,110-58629,anchored,6.697146739130428,6.751669494408041,,,0
35760,I66_EB,110-04181,free_flow,6.398728260869557,6.431036746304988,,,0
35760,I66_EB,110-04181,assignment,6.398728260869557,6.431036746304988,,,0
35760,I66_EB,110-04181,anchored,6.398728260869557,6.431036746304988,,,0
35765,I66_WB,110N58631,free_flow,4.585027173913047,4.632239854075997,,,0
35765,I66_WB,110N58631,assignment,4.585027173913047,4.632239854075997,,,0
35765,I66_WB,110N58631,anchored,4.585027173913047,4.632239854075997,,,0
35779,I66_EB,110N04176,free_flow,10.657445652173909,10.704569678589635,,,0
35779,I66_EB,110N04176,assignment,10.657445652173909,10.704569678589635,,,0
35779,I66_EB,110N04176,anchored,10.657445652173909,10.704569678589635,,,0
35786,I66_WB,110+04181,free_flow,11.597559782608695,11.870894720662186,,,0
35786,I66_WB,110+04181,assignment,11.597559782608695,11.870894720662186,,,0
35786,I66_WB,110+04181,anchored,11.597559782608695,11.870894720662186,,,0
35787,I66_EB,110N04180,free_flow,14.58446739130435,15.653348355757368,,,0
35787,I66_EB,110N04180,assignment,14.58446739130435,15.653348355757368,,,0
35787,I66_EB,110N04180,anchored,14.58446739130435,15.653348355757368,,,0
38163,I66_EB,110+58628,free_flow,4.362505434782609,4.976574779662301,,,0
38163,I66_EB,110+58628,assignment,4.362505434782609,4.976574779662301,,,0
38163,I66_EB,110+58628,anchored,4.362505434782609,4.976574779662301,,,0
38167,I66_EB,110+58628,free_flow,4.362505434782609,4.976574779662301,,,0
38167,I66_EB,110+58628,assignment,4.362505434782609,4.976574779662301,,,0
38167,I66_EB,110+58628,anchored,4.362505434782609,4.976574779662301,,,0
