corridor,link_id,period,bins,bins_below_cutoff,free_speed_mph,capacity_vph,D_counts,D_speed,V_counts,V_speed,V_err,D_err
D12_I5_N,L5N-131,AM,36,0,70.46587789113832,9279.735233160622,0.0,0.0,24189.886010362694,22945.33129351256,-5.144938328014354,
D12_I5_N,L5N-131,MD,72,10,70.46587789113832,9279.735233160622,6537.430051813471,7652.582865485339,47772.28497409326,53928.36384452933,12.886297722151022,17.057969337087233
D12_I5_N,L5N-131,PM,48,48,70.46587789113832,9279.735233160622,28358.15025906735,35743.22432769722,28358.15025906735,35743.22432769722,26.042157197007366,26.042157197007366
D12_I5_N,L5N-131,NT,132,2,70.46587789113832,9279.735233160622,1244.4507772020725,1544.6527202924353,39287.31101436888,51310.41784063579,30.60302809186812,24.123247667964325
D12_I5_N,L5N-132,AM,36,0,68.98689119170986,8841.545595854923,0.0,0.0,23150.481865284968,21733.353149735707,-6.121378914683843,
D12_I5_N,L5N-132,MD,72,15,68.98689119170986,8841.545595854923,9422.531088082902,10884.626230154987,45881.19430051814,51586.692727134025,12.43537469675556,15.517010539994528
D12_I5_N,L5N-132,PM,48,48,68.98689119170986,8841.545595854923,26927.095854922274,33435.99175291551,26927.095854922274,33435.99175291551,24.17229074038226,24.17229074038226
D12_I5_N,L5N-132,NT,132,4,68.98689119170986,8841.545595854923,2376.3290155440413,2940.6979883290815,39263.525906735755,54042.94254005018,37.64159303578739,23.749614177724983
D12_I5_N,L5N-133,AM,36,0,70.69985824742271,7741.77481865285,0.0,0.0,18784.528497409327,19895.279986094185,5.913118813911396,
D12_I5_N,L5N-133,MD,72,14,70.69985824742271,7741.77481865285,7237.007772020725,8911.498244796781,39265.64766839378,44772.73253395193,14.025198086802437,23.137884130094058
D12_I5_N,L5N-133,PM,48,39,70.69985824742271,7741.77481865285,18722.0,24505.35119911527,23034.647668393784,30161.466044021803,30.939558868993878,30.8906697955094
D12_I5_N,L5N-133,NT,132,0,70.69985824742271,7741.77481865285,0.0,0.0,28253.652876448905,42286.19583741967,49.6662963275369,
D12_I5_N,L5N-134,AM,36,0,70.21083742855619,8844.256787564767,0.0,0.0,23085.875647668396,21408.04422970429,-7.267783312926064,
D12_I5_N,L5N-134,MD,72,9,70.21083742855619,8844.256787564767,5489.860103626943,6468.524266044282,45110.78238341969,50903.670875655036,12.841472007731133,17.826759588477902
D12_I5_N,L5N-134,PM,48,48,70.21083742855619,8844.256787564767,25625.352331606213,29091.71211301923,25625.352331606213,29091.71211301923,13.527071692737758,13.527071692737758
D12_I5_N,L5N-134,NT,132,3,70.21083742855619,8844.256787564767,1736.6424870466321,2193.585263413368,37509.221222156935,49506.321857635965,31.98440342022422,26.31185058381369
D12_I5_N,L5N-135,AM,36,0,68.02624352331603,6661.750569948186,0.0,0.0,16666.01554404145,14666.557158035532,-11.997219015679953,
D12_I5_N,L5N-135,MD,72,3,68.02624352331603,6661.750569948186,1569.5595854922278,1653.8380173180558,35601.92227979274,37318.08632886392,4.820425244412309,5.36955924482456
D12_I5_N,L5N-135,PM,48,48,68.02624352331603,6661.750569948186,22211.181347150257,26212.53778216226,22211.181347150257,26212.53778216226,18.01505454605361,18.01505454605361
D12_I5_N,L5N-135,NT,132,2,68.02624352331603,6661.750569948186,960.5336787564767,1108.8224044936255,30829.99855776935,39212.76851776702,27.1903027964468,15.43815995386294
D12_I5_N,L5N-138,AM,36,0,70.64287564766835,7029.1433160621755,0.0,0.0,15814.611398963727,16091.625506647397,1.751633983885444,
D12_I5_N,L5N-138,MD,72,3,70.64287564766835,7029.1433160621755,1574.5699481865286,1713.386329743459,35213.23834196891,39237.1887142906,11.427379479398079,8.816145749308173
D12_I5_N,L5N-138,PM,48,36,70.64287564766835,7029.1433160621755,19515.984455958547,20776.51724443573,25602.89637305699,27333.037429227996,6.757598948811541,6.458976186017211
D12_I5_N,L5N-138,NT,132,0,70.64287564766835,7029.1433160621755,0.0,0.0,26417.640457240534,39054.11217827378,47.83346090839029,
D12_I5_N,L5N-140,AM,36,0,69.02048368142728,6000.423419689119,0.0,0.0,14940.841968911915,13626.193760718905,-8.799023581993959,
D12_I5_N,L5N-140,MD,72,0,69.02048368142728,6000.423419689119,0.0,0.0,30544.240932642486,33742.530626224245,10.471007286233661,
D12_I5_N,L5N-140,PM,48,0,69.02048368142728,6000.423419689119,0.0,0.0,20575.080310880825,22688.127355144465,10.269933396790613,
D12_I5_N,L5N-140,NT,132,0,69.02048368142728,6000.423419689119,0.0,0.0,21085.72315848512,30700.63806125637,45.599170730372144,
D12_I5_N,L5N-142,AM,36,0,71.62310880829018,6359.852953367876,0.0,0.0,17158.896373056992,15317.08113641954,-10.733879362599815,
D12_I5_N,L5N-142,MD,72,0,71.62310880829018,6359.852953367876,0.0,0.0,31806.60103626943,34880.861672662184,9.665479919992523,
D12_I5_N,L5N-142,PM,48,0,71.62310880829018,6359.852953367876,0.0,0.0,23917.803108808293,21988.279669722753,-8.067310489628323,
D12_I5_N,L5N-142,NT,132,0,71.62310880829018,6359.852953367876,0.0,0.0,33580.96554671225,34143.21864308293,1.6743208160246863,
D12_I5_N,L5N-144,AM,36,0,68.58010362694299,6769.258756476684,0.0,0.0,15461.953367875645,14319.794610034343,-7.386898218269726,
D12_I5_N,L5N-144,MD,72,0,68.58010362694299,6769.258756476684,0.0,0.0,33053.64248704663,36472.403273594,10.343068204622668,
D12_I5_N,L5N-144,PM,48,0,68.58010362694299,6769.258756476684,0.0,0.0,25867.077720207253,24409.427483302003,-5.6351562115829585,
D12_I5_N,L5N-144,NT,132,0,68.58010362694299,6769.258756476684,0.0,0.0,34663.328828588215,39051.20752268804,12.658561201083979,
D12_I5_N,L5N-145,AM,36,0,69.12556994818652,10659.520725388602,0.0,0.0,27464.756476683935,23028.20085407446,-16.153631751207644,
D12_I5_N,L5N-145,MD,72,0,69.12556994818652,10659.520725388602,0.0,0.0,50604.533678756474,56733.637755288895,12.111768711160732,
D12_I5_N,L5N-145,PM,48,0,69.12556994818652,10659.520725388602,0.0,0.0,30039.84455958549,33935.184861503694,12.967245200592192,
D12_I5_N,L5N-145,NT,132,0,69.12556994818652,10659.520725388602,0.0,0.0,32222.608648042304,57742.84247258348,79.1997758570415,
D12_I5_N,L5N-146,AM,36,0,68.93269430051816,6199.804041450777,0.0,0.0,15340.533678756474,14016.853200440666,-8.628646864801299,
D12_I5_N,L5N-146,MD,72,3,68.93269430051816,6199.804041450777,1506.5129533678755,1536.3372492178037,33250.41968911917,34676.656565826626,4.289380074123331,1.979690634803679
D12_I5_N,L5N-146,PM,48,48,68.93269430051816,6199.804041450777,23602.326424870465,23726.72729184844,23602.326424870465,23726.72729184844,0.527070360517051,0.527070360517051
D12_I5_N,L5N-146,NT,132,2,68.93269430051816,6199.804041450777,951.6010362694301,1030.9696058358363,30163.411863682493,37870.87604712516,25.552361975080963,8.34052996385497
