timestamp_la,time_bin,period,episode_id,observed_speed_mph,smoothed_speed_mph,baseline_free_speed_mph,observed_arrival_vph,count_reference_lambda_vph,inferred_lambda_vph,reference_mu_vph,observed_discharge_vph,speed_delay_diagnostic_queue_veh,cumulative_count_gap_veh,count_queue_raw_veh,count_queue_drift_corrected_veh,count_reference_queue_veh,forward_queue_veh,forward_outflow_vph,reconstructed_speed_mph,upstream_pct_observed,ramp_pct_observed,downstream_pct_observed
2025-07-29 11:00:00-07:00,132,MD,0,61.0,61.2,61.42761558085592,7759.969821257137,7759.969821257137,7908.0,7908.0,8412.0,0.0,-524.977013028575,131.0164644571438,69.7856322197805,0.0,0.0,7908.0,61.42761558085592,100.0,100.0,100.0
2025-07-29 11:05:00-07:00,133,MD,0,61.2,61.2,61.405606546830064,6813.755393828582,6813.755393828582,8412.0,8412.0,7524.0,0.0,-579.312861257147,76.68061622857181,14.23729226373598,0.0,0.0,8412.0,61.405606546830064,80.0,100.0,100.0
2025-07-29 11:10:00-07:00,134,MD,0,61.8,61.8,61.38592282237111,8412.412706742849,8412.412706742849,8028.0,8028.0,8448.0,0.0,-638.4999117714318,17.493565714287,0.0,0.0,0.0,8028.0,61.38592282237111,100.0,100.0,100.0
2025-07-29 11:15:00-07:00,135,MD,0,62.5,61.8,61.36857172060537,8048.10668434286,8048.10668434286,8328.0,8328.0,8028.0,0.0,-641.4655195428611,14.52795794285771,0.0,0.0,0.0,8328.0,61.36857172060537,100.0,100.0,100.0
2025-07-29 11:20:00-07:00,136,MD,0,61.7,61.7,61.353559559491735,8224.626075428569,8224.626075428569,8028.0,8028.0,8328.0,0.0,-639.7899625142894,16.2035149714294,0.0,0.0,0.0,8028.0,61.353559559491735,100.0,100.0,100.0
2025-07-29 11:25:00-07:00,137,MD,0,61.1,61.1,61.34089166182168,7187.969115428577,7187.969115428577,7908.0,7908.0,7908.0,0.0,-648.4044562285753,7.589021257143486,0.0,0.0,0.0,7908.0,61.34089166182168,100.0,100.0,100.0
2025-07-29 11:30:00-07:00,138,MD,0,53.5,57.0,61.33057235521925,7785.984910628568,7785.984910628568,7908.0,7908.0,6564.0,0.0,-708.4070299428605,0.0,0.0,0.0,0.0,7908.0,61.33057235521925,100.0,100.0,100.0
2025-07-29 11:35:00-07:00,139,MD,0,57.0,57.0,61.32260497214106,9015.908757942845,9015.908757942845,8076.0,8076.0,9132.0,0.0,-606.5749540571464,49.41852342857237,0.0,0.0,0.0,8076.0,61.32260497214106,100.0,100.0,100.0
2025-07-29 11:40:00-07:00,140,MD,0,59.6,59.6,61.31699184987631,7218.411648000009,7218.411648000009,9132.0,9132.0,8076.0,0.0,-616.249224228576,,,0.0,0.0,9132.0,61.31699184987631,80.0,100.0,100.0
2025-07-29 11:45:00-07:00,141,MD,0,59.8,59.6,61.313734330546765,9057.46622537142,9057.46622537142,9216.0,9216.0,9216.0,0.0,-687.7149202285752,,,0.0,0.0,9216.0,61.313734330546765,100.0,100.0,100.0
