link_id,date,period,bins,bins_below_cutoff,bins_below_unfiltered,cutoff_mph,capacity_vph,D_counts,D_speed,D_counts_unfiltered,D_speed_unfiltered,V_counts,V_speed
L405S-055,2025-06-19,MD,72,0,0,49.699999999999996,9892.980000000003,0.0,0.0,0.0,0.0,36370.0,37995.566912097725
L405S-055,2025-06-19,PM,48,0,0,49.699999999999996,9892.980000000003,0.0,0.0,0.0,0.0,8177.0,13822.900141490438
L405S-055,2025-06-19,NT,60,0,0,49.699999999999996,9892.980000000003,0.0,0.0,0.0,0.0,14995.0,25772.670773146598
L405S-055,2025-06-20,AM,36,6,6,49.699999999999996,9892.980000000003,3367.0,3472.5647529087346,3367.0,3472.5647529087346,20697.0,21434.819654680163
L405S-055,2025-06-20,MD,72,0,0,49.699999999999996,9892.980000000003,0.0,0.0,0.0,0.0,38742.0,39048.272079019356
L405S-055,2025-06-20,PM,48,0,0,49.699999999999996,9892.980000000003,0.0,0.0,0.0,0.0,9064.0,21320.589433400994
L405S-055,2025-06-20,NT,60,0,0,49.699999999999996,9892.980000000003,0.0,0.0,0.0,0.0,8184.0,27191.645852408492
L405S-061,2025-06-16,AM,36,0,0,51.169999999999995,7104.0,0.0,0.0,0.0,0.0,17316.0,21312.0
L405S-061,2025-06-16,MD,72,6,6,51.169999999999995,7104.0,2972.0,3552.0,2972.0,3552.0,29221.0,42624.0
L405S-061,2025-06-16,PM,48,0,0,51.169999999999995,7104.0,0.0,0.0,0.0,0.0,4491.0,26712.447882060384
L405S-061,2025-06-16,NT,60,0,0,51.169999999999995,7104.0,0.0,0.0,0.0,0.0,10250.0,29941.895920360977
L405S-061,2025-06-17,AM,36,0,0,51.169999999999995,7104.0,0.0,0.0,0.0,0.0,17539.0,21312.0
L405S-061,2025-06-17,MD,72,15,15,51.169999999999995,7104.0,7192.0,8880.0,7192.0,8880.0,28677.0,39778.12664881846
L405S-061,2025-06-17,PM,48,0,0,51.169999999999995,7104.0,0.0,0.0,0.0,0.0,5067.0,19797.897960778857
L405S-061,2025-06-17,NT,60,0,0,51.169999999999995,7104.0,0.0,0.0,0.0,0.0,10538.0,24007.26534207062
L405S-061,2025-06-18,AM,36,0,0,51.169999999999995,7104.0,0.0,0.0,0.0,0.0,17346.0,21312.0
L405S-061,2025-06-18,MD,72,13,13,51.169999999999995,7104.0,6426.0,7690.427931777842,6426.0,7690.427931777842,30515.0,41746.37032898994
L405S-061,2025-06-18,PM,48,0,0,51.169999999999995,7104.0,0.0,0.0,0.0,0.0,5504.0,21732.02481494868
L405S-061,2025-06-18,NT,60,0,0,51.169999999999995,7104.0,0.0,0.0,0.0,0.0,9055.0,22317.371566260037
L405S-061,2025-06-19,AM,36,0,0,51.169999999999995,7104.0,0.0,0.0,0.0,0.0,18672.0,21277.96343047113
L405S-061,2025-06-19,MD,72,0,0,51.169999999999995,7104.0,0.0,0.0,0.0,0.0,30473.0,40520.54760489618
L405S-061,2025-06-19,PM,48,0,0,51.169999999999995,7104.0,0.0,0.0,0.0,0.0,6382.0,20897.355865142363
L405S-061,2025-06-19,NT,60,0,0,51.169999999999995,7104.0,0.0,0.0,0.0,0.0,9260.0,24336.147762759654
L405S-061,2025-06-20,AM,36,6,6,51.169999999999995,7104.0,3334.0,3552.0,3334.0,3552.0,17966.0,21312.0
L405S-061,2025-06-20,MD,72,0,0,51.169999999999995,7104.0,0.0,0.0,0.0,0.0,31375.0,40851.91762293592
L405S-061,2025-06-20,PM,48,0,0,51.169999999999995,7104.0,0.0,0.0,0.0,0.0,7424.0,26768.469011523448
L405S-061,2025-06-20,NT,60,0,0,51.169999999999995,7104.0,0.0,0.0,0.0,0.0,5746.0,28278.395081886585
L405S-108,2025-06-16,AM,180,0,5,49.980000000000004,9998.640000000003,0.0,0.0,3558.0,3091.438324673858,101457.0,101104.52495314427
L405S-108,2025-06-16,MD,334,0,35,49.980000000000004,9998.640000000003,0.0,0.0,23756.0,21436.942355807914,149163.0,174134.02058214025
L405S-108,2025-06-16,PM,237,0,0,49.980000000000004,9998.640000000003,0.0,0.0,0.0,0.0,26344.0,98940.83576966927
L405S-108,2025-06-16,NT,300,0,2,49.980000000000004,9998.640000000003,0.0,0.0,1073.0,1231.4382120823384,74186.0,121145.81544189232
L405S-108,2025-06-17,AM,167,0,0,49.980000000000004,9998.640000000003,0.0,0.0,0.0,0.0,96259.0,88471.79658440527
L405S-108,2025-06-17,MD,321,0,34,49.980000000000004,9998.640000000003,0.0,0.0,22710.0,20417.681989267472,144856.0,146012.7057711248
L405S-108,2025-06-17,PM,239,0,1,49.980000000000004,9998.640000000003,0.0,0.0,340.0,533.7327781386007,27563.0,89786.0893413805
L405S-108,2025-06-17,NT,300,0,6,49.980000000000004,9998.640000000003,0.0,0.0,3314.0,3652.4217543806317,74928.0,110384.5538232016
L405S-108,2025-06-18,AM,178,0,14,49.980000000000004,9998.640000000003,0.0,0.0,9082.0,8290.089646887094,103264.0,91276.88794922443
L405S-108,2025-06-18,MD,328,0,31,49.980000000000004,9998.640000000003,0.0,0.0,20466.0,18352.202824699423,156742.0,152279.33111060923
L405S-108,2025-06-18,PM,237,0,0,49.980000000000004,9998.640000000003,0.0,0.0,0.0,0.0,30769.0,86546.44807784123
L405S-108,2025-06-18,NT,300,0,3,49.980000000000004,9998.640000000003,0.0,0.0,1673.0,1852.3130845581645,67990.0,103923.70151298385
L405S-108,2025-06-19,AM,180,0,10,49.980000000000004,9998.640000000003,0.0,0.0,5732.0,6084.335397790395,109894.0,94047.76509438995
L405S-108,2025-06-19,MD,329,0,36,49.980000000000004,9998.640000000003,0.0,0.0,23546.0,21094.99687368551,155329.0,140663.97064669657
L405S-108,2025-06-19,PM,225,0,0,49.980000000000004,9998.640000000003,0.0,0.0,0.0,0.0,37567.0,82521.83882060046
L405S-108,2025-06-19,NT,300,0,16,49.980000000000004,9998.640000000003,0.0,0.0,6312.0,9224.324664482596,64121.0,119578.2371043196
L405S-108,2025-06-20,AM,178,0,23,49.980000000000004,9998.640000000003,0.0,0.0,9082.0,12734.788673208137,101205.0,94920.80295560828
L405S-108,2025-06-20,MD,319,0,6,49.980000000000004,9998.640000000003,0.0,0.0,4252.0,3693.862645145922,159314.0,146188.2068488673
L405S-108,2025-06-20,PM,213,0,5,49.980000000000004,9998.640000000003,0.0,0.0,1154.0,3024.6774683499725,37394.0,83375.03407104744
L405S-108,2025-06-20,NT,300,0,6,49.980000000000004,9998.640000000003,0.0,0.0,1354.0,3668.6130385855913,37595.0,120898.44058398818
L405S-109,2025-06-16,AM,36,0,0,48.58,10560.0,0.0,0.0,0.0,0.0,27196.0,26622.78243199279
L405S-109,2025-06-16,MD,72,0,0,48.58,10560.0,0.0,0.0,0.0,0.0,45804.0,48430.4738572906
L405S-109,2025-06-16,PM,48,0,0,48.58,10560.0,0.0,0.0,0.0,0.0,8871.0,23670.17529224757
L405S-109,2025-06-16,NT,60,0,3,48.58,10560.0,0.0,0.0,1892.0,2204.9693927348353,19276.0,31823.660037917376
L405S-109,2025-06-17,AM,36,0,0,48.58,10560.0,0.0,0.0,0.0,0.0,28174.0,25204.67220633137
L405S-109,2025-06-17,MD,72,0,0,48.58,10560.0,0.0,0.0,0.0,0.0,47350.0,37643.81490387
L405S-109,2025-06-17,PM,48,0,0,48.58,10560.0,0.0,0.0,0.0,0.0,9644.0,18683.975109913445
L405S-109,2025-06-17,NT,60,0,0,48.58,10560.0,0.0,0.0,0.0,0.0,18840.0,28992.325831658356
L405S-109,2025-06-18,AM,36,0,0,48.58,10560.0,0.0,0.0,0.0,0.0,28372.0,25439.161751376796
