link_id,from_node_id,to_node_id,tmc_code,corridor,road,direction,period,period_hours,bins_in_period,lanes,length_mi,links_sharing_this_tmc,free_speed_obs_p95_mph,free_speed_assign_mph,free_speed_diff_mph,observed_max_mph,assign_free_speed_impossible,cutoff_obs_mph,cutoff_assign_mph,lane_capacity_vphpl,mu_free_vph,mu_queued_vph,capacity_drop,V_assign_veh,V_throughput_obs_veh,V_demand_obs_veh,V_max_feasible_veh,V_from_assignment_veh,obs_volume_in_assignment,D_assign_vphpl,D_obs_vphpl,D_ratio,queued_bins,observation_weight,inside_window,below_lower,above_upper,t0_min_obs,T2_min_obs,t3_min_obs,P_h_obs,vT2_mph_obs,t0_min_model,T2_min_model,t3_min_model,P_h_model,vT2_mph_model,right_censored,speed_mae_episode_mph,speed_mae_period_mph
31376,34875,34877,110-58631,I66_WB,I-66,WESTBOUND,PM,4.0,16,2,1.08,1,71.9165,75.0,3.08,75.06,False,50.34155,56.25,2000.0,4000.0,,,4829.4281,0.0,0.0,16000.0,4829.4281,-1,603.7,0.0,,0,0.0,True,False,False,,,,,,,,,,,False,,3.29
31379,34877,36678,110N58631,I66_WB,I-66,WESTBOUND,AM,3.0,12,2,0.36,3,71.59,75.0,3.41,75.06,False,50.113,56.25,2000.0,4000.0,,,4486.4877,0.0,0.0,12000.0,4486.4877,-1,747.7,0.0,,0,0.0,True,False,False,,,,,,,,,,,False,,4.59
31379,34877,36678,110N58631,I66_WB,I-66,WESTBOUND,MD,6.0,24,2,0.36,3,71.59,75.0,3.41,75.06,False,50.113,56.25,2000.0,4000.0,,,12511.1481,0.0,0.0,24000.0,12511.1481,-1,1042.6,0.0,,0,0.0,True,False,False,,,,,,,,,,,False,,4.59
31379,34877,36678,110N58631,I66_WB,I-66,WESTBOUND,PM,4.0,16,2,0.36,3,71.59,75.0,3.41,75.06,False,50.113,56.25,2000.0,4000.0,,,4829.4281,0.0,0.0,16000.0,4829.4281,-1,603.7,0.0,,0,0.0,True,False,False,,,,,,,,,,,False,,4.59
31381,34879,36690,110P04180,I66_WB,I-66,WESTBOUND,AM,3.0,12,4,0.36,1,67.7165,63.0,-4.72,71.59,False,47.40154999999999,47.25,1900.0,7600.0,,,8823.9543,0.0,0.0,22800.0,8823.9543,-1,735.3,0.0,,0,0.0,True,False,False,,,,,,,,,,,False,,9.8
31381,34879,36690,110P04180,I66_WB,I-66,WESTBOUND,MD,6.0,24,4,0.36,1,67.7165,63.0,-4.72,71.59,False,47.40154999999999,47.25,1900.0,7600.0,,,19403.1607,0.0,0.0,45600.0,19403.1607,-1,808.5,0.0,,0,0.0,True,False,False,,,,,,,,,,,False,,9.8
31381,34879,36690,110P04180,I66_WB,I-66,WESTBOUND,PM,4.0,16,4,0.36,1,67.7165,63.0,-4.72,71.59,False,47.40154999999999,47.25,1900.0,7600.0,,,16882.902,0.0,0.0,30400.0,16882.902,-1,1055.2,0.0,,0,0.0,True,False,False,,,,,,,,,,,False,,9.8
31382,34880,35071,110+58632,I66_EB,I-66,EASTBOUND,AM,3.0,12,4,0.16,1,72.52,63.0,-9.52,76.0,False,50.764,47.25,1900.0,7600.0,,,15076.5661,0.0,0.0,22800.0,15076.5661,-1,1256.4,0.0,,0,0.0,True,False,False,,,,,,,,,,,False,,6.37
31382,34880,35071,110+58632,I66_EB,I-66,EASTBOUND,MD,6.0,24,4,0.16,1,72.52,63.0,-9.52,76.0,False,50.764,47.25,1900.0,7600.0,,,23317.1972,0.0,0.0,45600.0,23317.1972,-1,971.5,0.0,,0,0.0,True,False,False,,,,,,,,,,,False,,6.37
31382,34880,35071,110+58632,I66_EB,I-66,EASTBOUND,PM,4.0,16,4,0.16,1,72.52,63.0,-9.52,76.0,False,50.764,47.25,1900.0,7600.0,,,13605.367,0.0,0.0,30400.0,13605.367,-1,850.3,0.0,,0,0.0,True,False,False,,,,,,,,,,,False,,6.37
