clock_min,wall_clock,period,speed_raw_mph,speed_mph,queued_regime,mu_vph,lambda_b_vph,lambda_b_identifiable,queue_b_measurement_veh,queue_b_recurrence_veh,outflow_b_vph,lambda_a_vph,queue_a_veh,outflow_a_vph
1375,22:55,NT,61.4,62.52,False,7600.0,7599.696746070594,False,0.0,0.0,7599.696746070594,3907.6808049757956,0.0,3907.6808049757956
1380,23:00,NT,62.52,62.52,False,7600.0,7599.764807785969,False,0.0,0.0,7599.764807785969,3907.6808049757956,0.0,3907.6808049757956
1385,23:05,NT,65.79,62.52,False,7600.0,7599.822950148811,False,0.0,0.0,7599.822950148811,3907.6808049757956,0.0,3907.6808049757956
1390,23:10,NT,60.2,60.2,False,7600.0,7599.870848345298,False,0.0,0.0,7599.870848345298,3907.6808049757956,0.0,3907.6808049757956
1395,23:15,NT,58.4,60.2,False,7600.0,7599.909469407185,False,0.0,0.0,7599.909469407185,3907.6808049757956,0.0,3907.6808049757956
1400,23:20,NT,63.53,63.53,False,7600.0,7599.939780366238,False,0.0,0.0,7599.939780366238,3907.6808049757956,0.0,3907.6808049757956
1405,23:25,NT,69.79,67.79,False,7600.0,7599.962748254224,False,0.0,0.0,7599.962748254224,3907.6808049757956,0.0,3907.6808049757956
1410,23:30,NT,67.79,67.79,False,7600.0,7599.979340102902,False,0.0,0.0,7599.979340102902,3907.6808049757956,0.0,3907.6808049757956
1415,23:35,NT,67.0,67.0,False,7600.0,7599.9905229440365,False,0.0,0.0,7599.9905229440365,3907.6808049757956,0.0,3907.6808049757956
1420,23:40,NT,66.4,66.4,False,7600.0,7599.997263809388,False,0.0,0.0,7599.997263809388,3907.6808049757956,0.0,3907.6808049757956
1425,23:45,NT,66.0,66.0,False,7600.0,7600.000529730727,False,0.0,0.0,7600.0,3907.6808049757956,0.0,3907.6808049757956
1430,23:50,NT,65.18,65.18,False,7600.0,7600.001287739813,False,0.0,4.414422725555293e-05,7600.0,3907.6808049757956,0.0,3907.6808049757956
1435,23:55,NT,62.0,62.0,False,7600.0,7600.000504868403,False,0.0,0.0001514558783431615,7600.0,3907.6808049757956,0.0,3907.6808049757956
1440,24:00,NT,58.16,62.0,False,7600.0,7599.999148148274,False,0.0,0.00019352824529050847,7600.0,3907.6808049757956,0.0,3907.6808049757956
1445,24:05,NT,62.18,62.18,False,7600.0,7599.99801642799,False,0.0,0.00012254060144793277,7599.999486915207,3907.6808049757956,0.0,3907.6808049757956
1450,24:10,NT,63.0,63.0,False,7600.0,7599.997235823401,False,0.0,0.0,7599.997235823401,3907.6808049757956,0.0,3907.6808049757956
1455,24:15,NT,65.2,65.2,False,7600.0,7599.996764267149,False,0.0,0.0,7599.996764267149,3907.6808049757956,0.0,3907.6808049757956
1460,24:20,NT,66.8,66.8,False,7600.0,7599.996559691894,False,0.0,0.0,7599.996559691894,3907.6808049757956,0.0,3907.6808049757956
1465,24:25,NT,68.2,66.8,False,7600.0,7599.996580030289,False,0.0,0.0,7599.996580030289,3907.6808049757956,0.0,3907.6808049757956
