model_link_id,tmc_id,day_id,period_id,period_hours,samples,observed_volume_veh,average_flow_rate_vph,D_peak_1h_vph,k_d_daily_derived,D_status,nominal_capacity_vph,capacity_basis,cutoff_speed_mph,k_mu,mu_vph,mu_status,T2_timestamp_la,vT2_observed_mph,t0_clock_h,t3_clock_h,P_observed_h,speed_state_quality,volume_status
L405S-001,1223027,2025-06-19,PM,4.0,48,10488.0,2622.0,3489.0,1.3306636155606408,derived_from_observed_rolling_1h_peak,10836.0,fd_parameters_detector_all_lanes,44.7014435695538,,,not_identified_by_adapter_requires_discharge_evidence,2025-06-19 15:10:00-07:00,67.0,,,0.0,no_cutoff_crossing,observed_integrated_5min_flow_rate
L405S-001,1223027,2025-06-20,AM,4.0,48,28080.0,7020.0,7183.0,1.0232193732193733,derived_from_observed_rolling_1h_peak,10836.0,fd_parameters_detector_all_lanes,44.7014435695538,,,not_identified_by_adapter_requires_discharge_evidence,2025-06-20 09:35:00-07:00,58.8,,,0.0,no_cutoff_crossing,observed_integrated_5min_flow_rate
L405S-001,1223027,2025-06-20,MD,5.0,60,29934.0,5986.8,7270.0,1.2143382107302731,derived_from_observed_rolling_1h_peak,10836.0,fd_parameters_detector_all_lanes,44.7014435695538,,,not_identified_by_adapter_requires_discharge_evidence,2025-06-20 10:05:00-07:00,59.50000000000001,,,0.0,no_cutoff_crossing,observed_integrated_5min_flow_rate
L405S-001,1223027,2025-06-20,NT1,6.0,72,38377.0,6396.166666666667,6887.0,1.0767386716001772,derived_from_observed_rolling_1h_peak,10836.0,fd_parameters_detector_all_lanes,44.7014435695538,,,not_identified_by_adapter_requires_discharge_evidence,2025-06-20 05:50:00-07:00,59.00000000000001,,,0.0,no_cutoff_crossing,observed_integrated_5min_flow_rate
L405S-001,1223027,2025-06-20,NT2,5.0,60,6547.0,1309.4,2831.0,2.162058958301512,derived_from_observed_rolling_1h_peak,10836.0,fd_parameters_detector_all_lanes,44.7014435695538,,,not_identified_by_adapter_requires_discharge_evidence,2025-06-20 19:05:00-07:00,67.1,,,0.0,no_cutoff_crossing,observed_integrated_5min_flow_rate
L405S-001,1223027,2025-06-20,PM,4.0,48,8891.0,2222.75,3563.0,1.6029692947924867,derived_from_observed_rolling_1h_peak,10836.0,fd_parameters_detector_all_lanes,44.7014435695538,,,not_identified_by_adapter_requires_discharge_evidence,2025-06-20 18:00:00-07:00,68.0,,,0.0,no_cutoff_crossing,observed_integrated_5min_flow_rate
L405S-020,1201419,2025-06-16,AM,4.0,48,28983.0,7245.75,7589.0,1.0473725977297037,derived_from_observed_rolling_1h_peak,9648.0,fd_parameters_detector_all_lanes,45.22339537103316,,,not_identified_by_adapter_requires_discharge_evidence,2025-06-16 06:05:00-07:00,56.3,,,0.0,no_cutoff_crossing,observed_integrated_5min_flow_rate
L405S-020,1201419,2025-06-16,MD,5.0,60,26889.0,5377.8,7333.0,1.3635687455836958,derived_from_observed_rolling_1h_peak,9648.0,fd_parameters_detector_all_lanes,45.22339537103316,,,not_identified_by_adapter_requires_discharge_evidence,2025-06-16 10:30:00-07:00,49.400000000000006,,,0.0,no_cutoff_crossing,observed_integrated_5min_flow_rate
L405S-020,1201419,2025-06-16,NT1,6.0,72,42636.0,7106.0,8578.0,1.2071488882634394,derived_from_observed_rolling_1h_peak,9648.0,fd_parameters_detector_all_lanes,45.22339537103316,,,not_identified_by_adapter_requires_discharge_evidence,2025-06-16 01:10:00-07:00,37.3,0.43036220198180575,1.4155059904701994,0.9851437884883938,interpolated;interpolated,observed_integrated_5min_flow_rate
L405S-020,1201419,2025-06-16,NT2,5.0,60,15106.0,3021.2,7671.0,2.539057328213955,derived_from_observed_rolling_1h_peak,9648.0,fd_parameters_detector_all_lanes,45.22339537103316,,,not_identified_by_adapter_requires_discharge_evidence,2025-06-16 23:55:00-07:00,56.8,,,0.0,no_cutoff_crossing,observed_integrated_5min_flow_rate
L405S-020,1201419,2025-06-16,PM,4.0,48,4887.0,1221.75,2454.0,2.008594229588705,derived_from_observed_rolling_1h_peak,9648.0,fd_parameters_detector_all_lanes,45.22339537103316,,,not_identified_by_adapter_requires_discharge_evidence,2025-06-16 15:40:00-07:00,59.50000000000001,,,0.0,no_cutoff_crossing,observed_integrated_5min_flow_rate
L405S-020,1201419,2025-06-17,AM,4.0,48,29729.0,7432.25,7751.0,1.0428874163274917,derived_from_observed_rolling_1h_peak,9648.0,fd_parameters_detector_all_lanes,45.22339537103316,,,not_identified_by_adapter_requires_discharge_evidence,2025-06-17 07:55:00-07:00,62.5,,,0.0,no_cutoff_crossing,observed_integrated_5min_flow_rate
L405S-020,1201419,2025-06-17,MD,5.0,60,27486.0,5497.2,7030.0,1.278832860365277,derived_from_observed_rolling_1h_peak,9648.0,fd_parameters_detector_all_lanes,45.22339537103316,,,not_identified_by_adapter_requires_discharge_evidence,2025-06-17 10:00:00-07:00,62.3,,,0.0,no_cutoff_crossing,observed_integrated_5min_flow_rate
